,Unnamed: 0,date,交通运输,交通工具,交通,上海封城,上海封控,封城,破产,海运,出口,货运,经济衰退,物流,快递,上海物流,上海快递,空调,上海空调
52,52,2021-11-22,468,691,1132,59,0,199,552,435,567,304,177,2885,34095,169,142,52449,0
53,53,2021-11-23,479,672,1116,0,0,206,593,450,587,291,194,2734,31728,142,128,50874,61
54,54,2021-11-24,429,701,1167,0,0,178,710,409,512,303,172,2789,30597,171,136,45795,0
55,55,2021-11-25,407,713,1163,185,0,212,680,390,573,308,198,2580,30220,167,154,55316,0
56,56,2021-11-26,441,617,1049,251,0,246,653,406,432,303,163,2585,28938,167,184,58580,0
57,57,2021-11-27,337,703,1026,195,0,218,522,289,380,268,160,2350,26034,136,171,82377,0
58,58,2021-11-28,374,766,1085,156,0,232,451,310,434,267,207,2251,24025,145,165,77364,0
59,59,2021-11-29,482,772,1153,152,0,292,570,504,547,290,204,2855,26601,143,169,47182,0
60,60,2021-11-30,442,756,1177,140,0,270,564,432,577,324,165,2721,25572,151,154,48939,0
61,61,2021-12-01,456,757,1098,64,0,244,541,494,644,316,180,2722,25514,137,155,41977,0
62,62,2021-12-02,454,743,1200,151,0,251,514,467,603,338,175,2639,26057,156,146,48937,0
63,63,2021-12-03,404,654,1101,132,0,252,542,465,500,298,157,2674,26449,141,155,63418,0
64,64,2021-12-04,374,637,1043,122,0,305,544,320,418,255,104,2180,23088,69,86,78557,59
65,65,2021-12-05,389,733,1112,59,0,254,532,290,373,236,157,2099,22605,144,87,60264,0
66,66,2021-12-06,482,733,1139,125,0,284,554,471,533,315,189,2978,24704,155,70,59793,63
67,67,2021-12-07,446,681,1133,143,0,344,584,419,629,299,180,2934,24575,157,140,64451,0
68,68,2021-12-08,447,758,1141,166,0,324,553,470,645,262,193,2566,25292,188,84,61636,0
69,69,2021-12-09,450,752,1130,153,0,485,507,450,653,293,171,2659,25948,166,122,51919,0
70,70,2021-12-10,370,674,1165,133,0,362,486,418,532,276,187,2443,25403,155,146,50912,0
71,71,2021-12-11,330,661,1083,141,0,548,442,284,438,257,163,2151,23165,89,70,40439,0
72,72,2021-12-12,328,690,1077,65,0,430,497,313,417,261,180,2231,23296,139,83,39078,0
73,73,2021-12-13,447,693,1116,135,0,438,517,413,625,308,199,2775,26575,169,163,26146,0
74,74,2021-12-14,448,668,1217,142,0,422,557,462,580,305,208,2902,27632,147,79,32888,0
75,75,2021-12-15,431,724,1127,126,0,385,551,413,614,320,191,2577,28794,167,145,33439,0
76,76,2021-12-16,451,790,1162,124,0,351,572,387,582,313,176,2861,30287,161,148,33716,63
77,77,2021-12-17,361,1129,1247,69,0,305,501,408,610,305,219,2800,29897,148,136,38642,0
78,78,2021-12-18,294,612,1078,134,0,416,416,294,463,244,176,2345,25864,145,71,45349,59
79,79,2021-12-19,328,617,1085,0,0,430,461,284,422,260,168,2277,24985,133,74,38222,63
80,80,2021-12-20,405,551,1123,61,0,391,565,402,564,298,185,2820,27932,146,135,32868,0
81,81,2021-12-21,408,585,1106,0,0,354,543,366,487,316,209,2833,26912,166,66,27446,0
82,82,2021-12-22,414,718,1093,149,0,5319,539,357,557,290,174,2921,29503,146,73,24672,0
83,83,2021-12-23,445,627,1066,168,0,8323,532,374,569,340,174,2985,30260,146,148,6398,0
84,84,2021-12-24,399,516,1095,144,0,1501,481,301,543,307,150,2659,29545,167,130,3813,0
85,85,2021-12-25,329,832,1005,139,0,1035,471,262,478,301,167,2548,39283,162,78,5734,0
86,86,2021-12-26,314,914,1081,65,0,978,449,265,446,297,170,2244,27443,142,76,6290,0
87,87,2021-12-27,408,737,1199,134,0,1064,481,368,545,331,179,2849,29318,167,76,5836,63
88,88,2021-12-28,415,902,1215,73,0,1175,465,332,555,327,176,2819,28816,156,126,5099,61
89,89,2021-12-29,406,550,1073,126,0,1048,470,332,554,331,172,2845,29224,140,67,4345,0
90,90,2021-12-30,415,506,1080,129,0,899,461,461,532,294,162,2926,29412,169,73,4341,0
91,91,2021-12-31,339,429,1072,78,0,973,426,538,446,308,202,2548,27641,138,63,4229,0
92,92,2022-01-01,283,427,982,134,0,625,380,314,356,257,228,1997,22356,73,126,4146,0
93,93,2022-01-02,282,483,1041,76,0,706,438,308,364,248,215,2107,23424,67,0,4004,0
94,94,2022-01-03,311,509,1060,78,0,1030,415,270,428,262,219,2329,24253,139,74,3171,0
95,95,2022-01-04,415,543,1162,147,0,1005,564,401,498,326,267,2924,27149,180,70,3685,61
96,96,2022-01-05,389,539,1201,146,0,1107,513,389,514,303,171,2518,28016,143,61,3636,0
97,97,2022-01-06,365,516,1139,139,0,966,495,358,559,367,168,2554,30014,154,0,3167,0
98,98,2022-01-07,351,488,1355,130,0,790,478,417,543,300,146,2632,30642,159,139,3493,0
99,99,2022-01-08,299,451,1027,91,0,826,438,263,381,305,178,2369,28691,144,125,3269,59
