,date,交通工具,家用电器,失业救济金,房地产中介,抵押贷款,风险投资,破产,海运,农业,出口,货运,经济衰退,食品
964,2021-08-22,0,0,0,0,0,0,0,0,0,0,0,0,0
965,2021-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0
966,2021-08-24,0,0,0,0,0,0,0,0,0,0,0,0,0
967,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0
968,2021-08-26,0,0,0,0,0,0,0,0,0,0,0,0,0
969,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0
970,2021-08-28,0,0,0,0,0,0,0,0,0,0,0,0,0
971,2021-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0
972,2021-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0
973,2021-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0
974,2021-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
975,2021-09-02,0,0,0,0,0,0,0,0,0,0,0,0,0
976,2021-09-03,0,0,0,0,0,0,0,0,0,0,0,0,0
977,2021-09-04,0,0,0,0,0,0,0,0,0,0,0,0,0
978,2021-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0
979,2021-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0
980,2021-09-07,0,0,0,0,0,0,0,0,0,0,0,0,0
981,2021-09-08,0,0,0,0,0,0,0,0,0,0,0,0,0
982,2021-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0
983,2021-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0
984,2021-09-11,0,0,0,0,0,0,0,0,0,0,0,0,0
985,2021-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0
986,2021-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0
987,2021-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0
988,2021-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0
989,2021-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0
990,2021-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0
991,2021-09-18,0,0,0,0,0,0,0,0,0,0,0,0,0
992,2021-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0
993,2021-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0
994,2021-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0
995,2021-09-22,0,0,0,0,0,0,0,0,0,0,0,0,0
996,2021-09-23,0,0,0,0,0,0,0,0,0,0,0,0,0
997,2021-09-24,0,0,0,0,0,0,0,0,0,0,0,0,0
998,2021-09-25,0,0,0,0,0,0,0,0,0,0,0,0,0
999,2021-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,2021-09-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,2021-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,2021-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,2021-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,2021-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,2021-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,2021-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,2021-10-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,2021-10-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,2021-10-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,2021-10-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,2021-10-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,2021-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,2021-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,2021-10-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,2021-10-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,2021-10-13,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,2021-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,2021-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,2021-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,2021-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,2021-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,2021-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,2021-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,2021-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,2021-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,2021-10-23,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,2021-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,2021-10-25,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,2021-10-26,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,2021-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,2021-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,2021-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,2021-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,2021-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,2021-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,2021-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,2021-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,2021-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,2021-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,2021-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,2021-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,2021-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,2021-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,2021-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,2021-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,2021-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,2021-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,2021-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,2021-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,2021-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,2021-11-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,2021-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,2021-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0
1054,2021-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,2021-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,2021-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,2021-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0
1058,2021-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,2021-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,2021-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0
1061,2021-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1062,2021-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,2021-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,2021-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,2021-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,2021-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1067,2021-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,2021-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,2021-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,2021-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1071,2021-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,2021-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1073,2021-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1074,2021-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,2021-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,2021-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,2021-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,2021-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,2021-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,2021-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,2021-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,2021-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,2021-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,2021-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0
1085,2021-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,2021-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,2021-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,2021-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,2021-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,2021-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,2021-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1092,2021-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0
1093,2021-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,2021-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,2021-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,2022-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,2022-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,2022-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,2022-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,2022-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,2022-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,2022-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,2022-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,2022-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,2022-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,2022-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,2022-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,2022-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,2022-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,2022-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,2022-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,2022-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,2022-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,2022-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0
1116,2022-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1117,2022-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0
1118,2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,2022-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,2022-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0
1121,2022-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,2022-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,2022-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,2022-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,2022-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1126,2022-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,2022-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1129,2022-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,2022-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,2022-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1132,2022-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,2022-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1134,2022-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,2022-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,2022-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1137,2022-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,2022-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1139,2022-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,2022-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0
1141,2022-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,2022-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,2022-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1144,2022-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0
